iter	RMSE
0	8491.711523
1	8093.612022
2	7758.964187
3	7421.584405
4	7165.332011
5	6932.267602
6	6693.300612
7	6500.315805
8	6307.371302
9	6159.379183
10	6023.846339
11	5888.488752
12	5765.565816
13	5670.323388
14	5581.518157
15	5512.073095
16	5467.794881
17	5389.43115
18	5315.424482
19	5267.005723
20	5206.227776
21	5146.885785
22	5100.209859
23	5056.588871
24	5002.708975
25	4972.060782
26	4929.175838
27	4889.803108
28	4845.965533
29	4809.943562
30	4782.250884
31	4752.481469
32	4726.656421
33	4695.87222
34	4679.880966
35	4662.640642
36	4634.512023
37	4611.979736
38	4593.195443
39	4574.59887
40	4557.562739
41	4529.41331
42	4509.292791
43	4482.759174
44	4460.007578
45	4442.664193
46	4438.121318
47	4418.639626
48	4404.442643
49	4391.152091
50	4371.830729
51	4356.933644
52	4338.633714
53	4326.84309
54	4310.538707
55	4297.316385
56	4287.137418
57	4275.759425
58	4268.779467
59	4257.798983
60	4236.866235
61	4223.920263
62	4218.302692
63	4197.826888
64	4195.353267
65	4186.850874
66	4175.966804
67	4162.943623
68	4149.28771
69	4141.501862
70	4136.586822
71	4130.824598
72	4117.904749
73	4110.256106
74	4106.280128
75	4098.973762
76	4087.821221
77	4076.630548
78	4064.871567
79	4056.708789
80	4049.322092
81	4040.704895
82	4029.318154
83	4014.220227
84	4001.638801
85	3995.129953
86	3981.79021
87	3974.582107
88	3966.318746
89	3958.210925
90	3948.604115
91	3938.027665
92	3927.590461
93	3921.004461
94	3913.284587
95	3902.562348
96	3891.427181
97	3885.942291
98	3883.444771
99	3875.348084
