iter	RMSE
0	8708.785603
1	8478.003902
2	8269.70151
3	8099.642664
4	7938.618768
5	7768.269268
6	7623.226899
7	7497.999072
8	7354.682133
9	7232.731658
10	7115.284157
11	7011.302369
12	6917.693085
13	6836.039867
14	6741.20462
15	6666.816618
16	6589.017337
17	6523.263387
18	6462.779884
19	6393.894602
20	6325.732824
21	6267.796384
22	6208.027969
23	6161.035709
24	6113.638482
25	6064.244936
26	6026.70923
27	5978.67711
28	5945.909169
29	5905.583061
30	5875.652554
31	5837.092331
32	5811.771706
33	5783.2192
34	5747.132642
35	5719.224844
36	5694.66429
37	5664.982124
38	5634.796682
39	5605.319962
40	5590.006718
41	5567.486958
42	5547.368438
43	5527.838094
44	5506.319541
45	5482.343301
46	5460.09437
47	5446.259908
48	5431.093472
49	5403.198842
50	5388.944042
51	5377.074037
52	5361.198262
53	5343.999772
54	5332.626106
55	5316.812527
56	5304.455556
57	5287.747934
58	5274.249084
59	5263.51869
60	5244.629864
61	5235.298248
62	5223.560905
63	5213.335796
64	5202.825469
65	5190.030038
66	5177.274077
67	5169.547298
68	5161.401181
69	5151.751473
70	5142.380456
71	5130.783885
72	5120.439207
73	5111.763557
74	5104.376226
75	5096.927227
76	5089.430593
77	5078.367426
78	5068.882282
79	5058.48056
80	5051.105156
81	5041.34259
82	5034.479555
83	5026.450953
84	5019.158213
85	5010.195304
86	5004.763599
87	4999.459215
88	4990.45183
89	4981.440003
90	4973.562295
91	4969.640664
92	4961.60309
93	4957.087242
94	4947.7308
95	4939.645246
96	4934.559164
97	4928.45652
98	4922.504886
99	4915.277851
100	4911.750663
101	4899.250093
102	4892.106643
103	4885.586823
104	4881.120124
105	4871.301667
106	4867.089296
107	4859.522812
108	4855.594525
109	4849.342382
110	4839.500915
111	4834.61252
112	4831.635674
113	4827.4658
114	4824.466409
115	4821.76441
116	4817.776359
117	4812.017961
118	4805.033319
119	4798.024332
120	4791.6461
121	4785.8756
122	4778.178919
123	4775.228062
124	4770.219253
125	4764.317782
126	4760.155939
127	4753.693782
128	4752.208808
129	4747.636057
130	4739.85457
131	4736.100371
132	4729.754914
133	4723.313558
134	4720.601087
135	4715.215334
136	4705.214922
137	4701.104744
138	4693.104451
139	4689.075077
140	4683.584968
141	4680.088259
142	4676.675398
143	4673.409303
144	4664.404146
145	4659.451977
146	4655.642602
147	4650.642683
148	4647.415929
149	4643.95339
150	4640.801867
151	4635.170025
152	4630.228449
153	4626.736233
154	4623.327894
155	4620.87334
156	4617.605328
157	4612.00564
158	4607.935079
159	4602.086152
160	4595.111495
161	4589.859731
162	4586.056316
163	4582.785498
164	4579.995651
165	4576.945057
166	4571.913709
167	4566.751458
168	4565.75734
169	4560.37093
170	4555.863016
171	4552.006359
172	4545.996516
173	4540.106135
174	4535.775739
175	4532.770021
176	4530.811278
177	4526.329984
178	4522.647657
179	4517.00511
180	4512.575608
181	4508.566328
182	4503.538764
183	4499.578767
184	4495.20557
185	4489.921695
186	4485.558943
187	4479.805656
188	4477.790362
189	4474.274278
190	4470.38771
191	4466.003768
192	4462.260038
193	4458.1418
194	4454.76349
195	4453.025596
196	4449.468492
197	4443.125175
198	4440.241114
199	4437.975945
200	4433.479025
201	4431.815962
202	4429.897688
203	4426.764043
204	4425.235936
205	4423.135409
206	4419.246143
207	4415.62014
208	4413.084097
209	4409.647407
210	4406.433489
211	4402.914527
212	4399.789091
213	4396.299615
214	4392.259384
215	4388.497476
216	4386.876488
217	4383.797159
218	4381.159244
219	4377.049035
220	4376.116915
221	4373.281626
222	4371.972085
223	4369.287051
224	4365.658493
225	4362.664054
226	4359.509616
227	4356.805846
228	4354.075296
229	4349.845604
230	4348.710525
231	4344.873344
232	4342.460149
233	4338.376865
234	4334.017208
235	4329.984156
236	4326.732994
237	4325.100014
238	4321.479258
239	4319.087921
240	4314.947146
241	4314.206368
242	4310.95643
243	4308.488914
244	4305.912731
245	4304.164128
246	4299.826534
247	4296.685568
248	4293.883223
249	4291.36388
250	4286.959937
251	4283.315804
252	4280.300247
253	4277.314623
254	4275.74072
255	4272.830603
256	4269.378627
257	4265.416789
258	4264.057009
259	4261.070037
260	4259.952882
261	4259.139033
262	4254.416748
263	4251.298117
264	4249.71071
265	4246.7722
266	4243.663622
267	4240.556198
268	4238.196235
269	4234.64953
270	4232.175363
271	4229.094089
272	4225.995866
273	4224.877152
274	4222.839671
275	4220.397258
276	4217.676504
277	4216.237146
278	4214.534155
279	4213.248522
280	4210.207926
281	4208.48183
282	4207.404961
283	4205.494734
284	4204.215101
285	4202.943869
286	4202.017114
287	4198.883693
288	4198.248986
289	4195.025419
290	4192.68185
291	4189.153386
292	4186.366515
293	4184.595054
294	4182.640598
295	4179.803696
296	4178.108132
297	4175.34456
298	4173.563129
299	4170.933525
300	4168.855471
301	4167.163196
302	4164.730886
303	4163.315415
304	4159.95205
305	4157.980733
306	4156.397901
307	4154.501021
308	4153.076137
309	4152.219778
310	4149.962843
311	4148.243618
312	4146.528701
313	4144.571729
314	4142.163819
315	4140.579601
316	4138.61878
317	4135.982036
318	4134.223365
319	4132.124059
320	4129.494887
321	4127.444851
322	4124.233756
323	4122.950529
324	4118.537692
325	4117.426011
326	4114.943488
327	4113.704592
328	4112.704292
329	4111.478038
330	4110.1452
331	4106.858921
332	4105.010476
333	4104.565044
334	4103.10423
335	4101.950312
336	4099.577353
337	4098.722022
338	4096.927188
339	4094.691907
340	4091.674162
341	4089.687028
342	4087.317917
343	4086.737344
344	4082.808064
345	4079.75754
